id,faction,name,type,P,Pp,S,K,actEv,T,budget,target,net,verdict,formulaNote
flame_strike_v3,烈焰帝国,轰击·精英,SPELL,0,1,0,0,2,0,3.05,5.05,-3.05,亏模,SPELL无身材-公式不适用
flame_berserker,烈焰帝国,狂战士,MINION,1,0,5,0,0,0,4.96,4.96,0.04,正常,对账口径(生成器预算)
flame_volley,烈焰帝国,齐射,SPELL,1,0,0,0,1,1,4.96,3.46,-2.46,亏模,SPELL无身材-公式不适用
flame_berserker_v2,烈焰帝国,狂战士·老兵,MINION,1,1,4,0,0,0,3.46,4.46,-0.46,正常,对账口径(生成器预算)
flame_berserker_v3,烈焰帝国,狂战士·精英,MINION,1,0,5,0,2,0,4.96,6.96,0.04,正常,对账口径(生成器预算)
flame_guard,烈焰帝国,护卫,MINION,1,0,5,0,0,0,4.96,4.96,0.04,正常,对账口径(生成器预算)
flame_volley_v2,烈焰帝国,齐射·老兵,SPELL,1,0,0,0,2,1,4.96,4.46,-2.46,亏模,SPELL无身材-公式不适用
flame_guard_v2,烈焰帝国,护卫·老兵,MINION,1,0,4,0,2,0,4.96,5.96,0.04,正常,对账口径(生成器预算)
flame_trap_v3,烈焰帝国,炎爆陷阱·精英,AMBUSH,1,0,0,0,0,0,4.96,6.96,-6.96,亏模,AMBUSH无身材-公式不适用
flame_volley_v3,烈焰帝国,齐射·精英,SPELL,1,0,0,0,2,1,4.96,5.46,-3.46,亏模,SPELL无身材-公式不适用
flame_retribution_v3,烈焰帝国,天罚·精英,PUNISH,1,0,0,0,0,0,4.96,6.96,-6.96,亏模,PUNISH不从主动出-公式不适用
flame_guard_v3,烈焰帝国,护卫·精英,MINION,1,0,4,0,0,0,4.96,6.96,-2.96,亏模,对账口径(生成器预算)
flame_barrage,烈焰帝国,弹幕,SPELL,1,1,0,0,1,0,3.46,3.46,-2.46,亏模,SPELL无身材-公式不适用
flame_charger,烈焰帝国,冲锋骑兵,MINION,1,0,4,-1,0,0,4.96,4.96,-1.96,亏模,对账口径(生成器预算)
flame_charger_v2,烈焰帝国,冲锋骑兵·老兵,MINION,1,0,4,0,2,0,4.96,5.96,0.04,正常,对账口径(生成器预算)
flame_charger_v3,烈焰帝国,冲锋骑兵·精英,MINION,1,1,4,-1,2,0,3.46,5.46,-0.46,正常,对账口径(生成器预算)
flame_barrage_v2,烈焰帝国,弹幕·老兵,SPELL,1,0,0,0,2,0,4.96,5.96,-3.96,亏模,SPELL无身材-公式不适用
flame_drake,烈焰帝国,幼龙,MINION,1,0,5,0,0,0,4.96,4.96,0.04,正常,对账口径(生成器预算)
flame_ward,烈焰帝国,火墙,AMBUSH,2,1,0,0,0,0,4.19,4.19,-4.19,亏模,AMBUSH无身材-公式不适用
flame_barrage_v3,烈焰帝国,弹幕·精英,SPELL,2,2,0,0,2.5,0,2.69,4.69,-2.19,亏模,SPELL无身材-公式不适用
flame_backlash,烈焰帝国,回火,PUNISH,2,0,0,0,0,0,5.69,5.69,-5.69,亏模,PUNISH不从主动出-公式不适用
flame_drake_v2,烈焰帝国,幼龙·老兵,MINION,2,1,3,0,2,0,4.19,5.19,-0.19,正常,对账口径(生成器预算)
flame_eruption,烈焰帝国,喷发,SPELL,2,2,0,0,1,0,2.69,2.69,-1.69,亏模,SPELL无身材-公式不适用
flame_drake_v3,烈焰帝国,幼龙·精英,MINION,2,0,6,0,2,0,5.69,7.69,0.31,正常,对账口径(生成器预算)
flame_phoenix,烈焰帝国,凤凰,MINION,2,1,3,0,0,1,4.19,2.69,0.31,正常,对账口径(生成器预算)
flame_phoenix_v2,烈焰帝国,凤凰·老兵,MINION,2,0,5,0,0,1,5.69,5.19,-0.19,正常,对账口径(生成器预算)
flame_eruption_v2,烈焰帝国,喷发·老兵,SPELL,2,0,0,0,3,0,5.69,6.69,-3.69,亏模,SPELL无身材-公式不适用
flame_phoenix_v3,烈焰帝国,凤凰·精英,MINION,2,1,5,0,0,1,4.19,4.69,0.31,正常,对账口径(生成器预算)
flame_ward_v2,烈焰帝国,火墙·老兵,AMBUSH,2,2,0,0,0,0,2.69,3.69,-3.69,亏模,AMBUSH无身材-公式不适用
flame_eruption_v3,烈焰帝国,喷发·精英,SPELL,2,0,0,0,6,0,5.69,7.69,-1.69,亏模,SPELL无身材-公式不适用
flame_avenger,烈焰帝国,复仇者,MINION,3,1,3,0,2,0,5.24,5.24,-0.24,正常,对账口径(生成器预算)
flame_avenger_v2,烈焰帝国,复仇者·老兵,MINION,3,2,5,0,0,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_avenger_v3,烈焰帝国,复仇者·精英,MINION,3,0,7,0,2,0,6.74,8.74,0.26,正常,对账口径(生成器预算)
flame_ward_v3,烈焰帝国,火墙·精英,AMBUSH,3,1,0,0,0,0,5.24,7.24,-7.24,亏模,AMBUSH无身材-公式不适用
flame_warlord,烈焰帝国,军阀,MINION,3,2,4,0,0,0,3.74,3.74,0.26,正常,对账口径(生成器预算)
flame_backlash_v2,烈焰帝国,回火·老兵,PUNISH,3,0,0,0,0,0,6.74,7.74,-7.74,亏模,PUNISH不从主动出-公式不适用
flame_warlord_v2,烈焰帝国,军阀·老兵,MINION,3,1,3,0,0,0,5.24,6.24,-3.24,亏模,对账口径(生成器预算)
flame_warlord_v3,烈焰帝国,军阀·精英,MINION,4,0,6,0,4,0,8.11,10.11,-0.11,正常,对账口径(生成器预算)
flame_giant,烈焰帝国,熔核巨人,MINION,4,1,6,-1,0,0,6.61,6.61,-1.61,亏模,对账口径(生成器预算)
flame_giant_v2,烈焰帝国,熔核巨人·老兵,MINION,4,2,4,0,2,0,5.11,6.11,-0.11,正常,对账口径(生成器预算)
flame_giant_v3,烈焰帝国,熔核巨人·精英,MINION,5,3,5,0,2,0,5.3,7.3,-0.3,正常,对账口径(生成器预算)
flame_backlash_v3,烈焰帝国,回火·精英,PUNISH,5,0,0,0,0,0,9.8,11.8,-11.8,亏模,PUNISH不从主动出-公式不适用
flame_titan,烈焰帝国,泰坦,MINION,0,0,5,0,0,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_titan_v2,烈焰帝国,泰坦·老兵,MINION,3,2,5,0,0,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_titan_v3,烈焰帝国,泰坦·精英,MINION,4,2,2,0,4,0,5.11,7.11,-1.11,正常,对账口径(生成器预算)
flame_elemental,烈焰帝国,元素,MINION,1,0,3,0,0,1,4.96,3.46,-0.46,正常,对账口径(生成器预算)
flame_elemental_v2,烈焰帝国,元素·老兵,MINION,2,0,5,0,0,1,5.69,5.19,-0.19,正常,对账口径(生成器预算)
flame_elemental_v3,烈焰帝国,元素·精英,MINION,5,1,4,0,4,1,8.3,8.8,-0.8,正常,对账口径(生成器预算)
flame_pyromancer,烈焰帝国,火法师,MINION,0,0,5,0,0,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_pyromancer_v2,烈焰帝国,火法师·老兵,MINION,3,2,5,0,0,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_pyromancer_v3,烈焰帝国,火法师·精英,MINION,4,0,8,0,2,0,8.11,10.11,-0.11,正常,对账口径(生成器预算)
flame_slinger,烈焰帝国,投石手,MINION,1,1,3,0,0,0,3.46,3.46,-0.46,正常,对账口径(生成器预算)
flame_slinger_v2,烈焰帝国,投石手·老兵,MINION,2,2,4,0,0,0,2.69,3.69,0.31,正常,对账口径(生成器预算)
flame_slinger_v3,烈焰帝国,投石手·精英,MINION,5,3,3,0,4,0,5.3,7.3,-0.3,正常,对账口径(生成器预算)
flame_knight,烈焰帝国,骑兵,MINION,0,0,4,-1,2,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_knight_v2,烈焰帝国,骑兵·老兵,MINION,3,2,4,-1,2,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_knight_v3,烈焰帝国,骑兵·精英,MINION,4,2,5,0,2,0,5.11,7.11,-0.11,正常,对账口径(生成器预算)
flame_juggernaut,烈焰帝国,主宰,MINION,1,1,3,0,0,0,3.46,3.46,-0.46,正常,对账口径(生成器预算)
flame_juggernaut_v2,烈焰帝国,主宰·老兵,MINION,2,2,4,0,0,0,2.69,3.69,0.31,正常,对账口径(生成器预算)
flame_juggernaut_v3,烈焰帝国,主宰·精英,MINION,5,1,8,0,2,0,8.3,10.3,-0.3,正常,对账口径(生成器预算)
flame_hound,烈焰帝国,炎犬,MINION,0,0,3,0,0,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
flame_hound_v2,烈焰帝国,炎犬·老兵,MINION,3,2,3,0,0,1,3.74,3.24,-0.24,正常,对账口径(生成器预算)
flame_hound_v3,烈焰帝国,炎犬·精英,MINION,4,0,4,0,4,1,8.11,8.61,-0.61,正常,对账口径(生成器预算)
flame_lancer,烈焰帝国,枪骑,MINION,1,1,3,0,0,0,3.46,3.46,-0.46,正常,对账口径(生成器预算)
flame_lancer_v2,烈焰帝国,枪骑·老兵,MINION,2,2,4,0,0,0,2.69,3.69,0.31,正常,对账口径(生成器预算)
flame_lancer_v3,烈焰帝国,枪骑·精英,MINION,5,3,5,0,2,0,5.3,7.3,-0.3,正常,对账口径(生成器预算)
flame_reaver,烈焰帝国,掠夺者,MINION,0,0,5,0,0,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_reaver_v2,烈焰帝国,掠夺者·老兵,MINION,3,2,5,0,0,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_reaver_v3,烈焰帝国,掠夺者·精英,MINION,4,2,3,0,4,0,5.11,7.11,-0.11,正常,对账口径(生成器预算)
flame_colossus,烈焰帝国,巨像,MINION,1,1,3,0,0,0,3.46,3.46,-0.46,正常,对账口径(生成器预算)
flame_colossus_v2,烈焰帝国,巨像·老兵,MINION,2,2,4,0,0,0,2.69,3.69,0.31,正常,对账口径(生成器预算)
flame_colossus_v3,烈焰帝国,巨像·精英,MINION,5,1,8,0,2,0,8.3,10.3,-0.3,正常,对账口径(生成器预算)
flame_harbinger,烈焰帝国,先锋,MINION,0,0,5,0,0,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_harbinger_v2,烈焰帝国,先锋·老兵,MINION,3,2,5,0,0,0,3.74,4.74,0.26,正常,对账口径(生成器预算)
flame_harbinger_v3,烈焰帝国,先锋·精英,MINION,4,0,8,0,2,0,8.11,10.11,-0.11,正常,对账口径(生成器预算)
flame_meteor,烈焰帝国,流星,SPELL,1,1,0,0,1,0,3.46,3.46,-2.46,亏模,SPELL无身材-公式不适用
flame_meteor_v2,烈焰帝国,流星·老兵,SPELL,2,2,0,0,2,0,2.69,3.69,-1.69,亏模,SPELL无身材-公式不适用
flame_meteor_v3,烈焰帝国,流星·精英,SPELL,5,3,0,0,3,0,5.3,7.3,-4.3,亏模,SPELL无身材-公式不适用
flame_blaze,烈焰帝国,烈焰,SPELL,0,0,0,0,2,0,4.55,4.55,-2.55,亏模,SPELL无身材-公式不适用
flame_blaze_v2,烈焰帝国,烈焰·老兵,SPELL,3,2,0,0,2,0,3.74,4.74,-2.74,亏模,SPELL无身材-公式不适用
flame_blaze_v3,烈焰帝国,烈焰·精英,SPELL,4,2,0,0,4,0,5.11,7.11,-3.11,亏模,SPELL无身材-公式不适用
flame_scorch,烈焰帝国,灼烧,SPELL,1,0,0,0,1,1,4.96,3.46,-2.46,亏模,SPELL无身材-公式不适用
flame_scorch_v2,烈焰帝国,灼烧·老兵,SPELL,2,0,0,0,2,1,5.69,5.19,-3.19,亏模,SPELL无身材-公式不适用
flame_scorch_v3,烈焰帝国,灼烧·精英,SPELL,5,1,0,0,6,1,8.3,8.8,-2.8,亏模,SPELL无身材-公式不适用
flame_ignite,烈焰帝国,点燃,SPELL,0,0,0,0,2,0,4.55,4.55,-2.55,亏模,SPELL无身材-公式不适用
flame_ignite_v2,烈焰帝国,点燃·老兵,SPELL,3,2,0,0,2.5,0,3.74,4.74,-2.24,亏模,SPELL无身材-公式不适用
flame_ignite_v3,烈焰帝国,点燃·精英,SPELL,4,0,0,0,4,0,8.11,10.11,-6.11,亏模,SPELL无身材-公式不适用
flame_fireball,烈焰帝国,火球,SPELL,1,1,0,0,1,0,3.46,3.46,-2.46,亏模,SPELL无身材-公式不适用
flame_fireball_v2,烈焰帝国,火球·老兵,SPELL,2,2,0,0,2,0,2.69,3.69,-1.69,亏模,SPELL无身材-公式不适用
flame_fireball_v3,烈焰帝国,火球·精英,SPELL,5,3,0,0,4,0,5.3,7.3,-3.3,亏模,SPELL无身材-公式不适用
flame_ambush,烈焰帝国,伏火,AMBUSH,0,0,0,0,0,1,4.55,3.05,-3.05,亏模,AMBUSH无身材-公式不适用
flame_ambush_v2,烈焰帝国,伏火·老兵,AMBUSH,3,2,0,0,0,1,3.74,3.24,-3.24,亏模,AMBUSH无身材-公式不适用
flame_ambush_v3,烈焰帝国,伏火·精英,AMBUSH,4,2,0,0,0,1,5.11,5.61,-5.61,亏模,AMBUSH无身材-公式不适用
flame_bait,烈焰帝国,诱火,AMBUSH,1,1,0,0,0,0,3.46,3.46,-3.46,亏模,AMBUSH无身材-公式不适用
flame_bait_v2,烈焰帝国,诱火·老兵,AMBUSH,2,2,0,0,0,0,2.69,3.69,-3.69,亏模,AMBUSH无身材-公式不适用
flame_bait_v3,烈焰帝国,诱火·精英,AMBUSH,5,1,0,0,0,0,8.3,10.3,-10.3,亏模,AMBUSH无身材-公式不适用
flame_curse,烈焰帝国,诅咒,PUNISH,1,0,0,0,0,1,4.96,3.46,-3.46,亏模,PUNISH不从主动出-公式不适用
flame_curse_v2,烈焰帝国,诅咒·老兵,PUNISH,3,2,0,0,0,1,3.74,3.24,-3.24,亏模,PUNISH不从主动出-公式不适用
flame_curse_v3,烈焰帝国,诅咒·精英,PUNISH,4,0,0,0,0,1,8.11,8.61,-8.61,亏模,PUNISH不从主动出-公式不适用
flame_hex,烈焰帝国,巫火,PUNISH,1,1,0,0,0,0,3.46,3.46,-3.46,亏模,PUNISH不从主动出-公式不适用
flame_hex_v2,烈焰帝国,巫火·老兵,PUNISH,2,2,0,0,0,0,2.69,3.69,-3.69,亏模,PUNISH不从主动出-公式不适用
flame_hex_v3,烈焰帝国,巫火·精英,PUNISH,5,3,0,0,0,0,5.3,7.3,-7.3,亏模,PUNISH不从主动出-公式不适用
machine_drone,机械遗迹,无人机,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_drone_v2,机械遗迹,无人机·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_upload,机械遗迹,上传,SPELL,0,0,0,0,3.5,1,4.55,3.05,0.45,正常,SPELL无身材-公式不适用
machine_drone_v3,机械遗迹,无人机·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_firewall,机械遗迹,防火墙,AMBUSH,0,0,0,0,0,1,4.55,3.05,-3.05,亏模,AMBUSH无身材-公式不适用
machine_upload_v2,机械遗迹,上传·老兵,SPELL,0,0,0,0,7,1,4.55,4.05,2.95,超模,SPELL无身材-公式不适用
machine_overload,机械遗迹,过载,PUNISH,1,0,0,0,0,1,4.96,3.46,-3.46,亏模,PUNISH不从主动出-公式不适用
machine_bot,机械遗迹,机械人,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_upload_v3,机械遗迹,上传·精英,SPELL,0,0,0,0,9,1,4.55,5.05,3.95,超模,SPELL无身材-公式不适用
machine_bot_v2,机械遗迹,机械人·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_bot_v3,机械遗迹,机械人·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_golem,机械遗迹,傀儡,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_download,机械遗迹,下载,SPELL,0,0,0,0,3.5,1,4.55,3.05,0.45,正常,SPELL无身材-公式不适用
machine_golem_v2,机械遗迹,傀儡·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_firewall_v2,机械遗迹,防火墙·老兵,AMBUSH,0,0,0,0,0,1,4.55,4.05,-4.05,亏模,AMBUSH无身材-公式不适用
machine_download_v2,机械遗迹,下载·老兵,SPELL,0,0,0,0,7,1,4.55,4.05,2.95,超模,SPELL无身材-公式不适用
machine_overload_v2,机械遗迹,过载·老兵,PUNISH,1,0,0,0,0,1,4.96,4.46,-4.46,亏模,PUNISH不从主动出-公式不适用
machine_golem_v3,机械遗迹,傀儡·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_download_v3,机械遗迹,下载·精英,SPELL,0,0,0,0,9,1,4.55,5.05,3.95,超模,SPELL无身材-公式不适用
machine_sentinel,机械遗迹,哨兵,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_rollback,机械遗迹,回滚,SPELL,0,0,0,0,3.5,1,4.55,3.05,0.45,正常,SPELL无身材-公式不适用
machine_sentinel_v2,机械遗迹,哨兵·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_sentinel_v3,机械遗迹,哨兵·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_terminal,机械遗迹,终端,MINION,0,0,3,0,2,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
machine_rollback_v2,机械遗迹,回滚·老兵,SPELL,0,0,0,0,5,1,4.55,4.05,0.95,正常,SPELL无身材-公式不适用
machine_terminal_v2,机械遗迹,终端·老兵,MINION,0,0,3,0,3,0,4.55,5.55,0.45,正常,对账口径(生成器预算)
machine_firewall_v3,机械遗迹,防火墙·精英,AMBUSH,0,0,0,0,0,1,4.55,5.05,-5.05,亏模,AMBUSH无身材-公式不适用
machine_rollback_v3,机械遗迹,回滚·精英,SPELL,0,0,0,0,9,1,4.55,5.05,3.95,超模,SPELL无身材-公式不适用
machine_overload_v3,机械遗迹,过载·精英,PUNISH,1,0,0,0,0,1,4.96,5.46,-5.46,亏模,PUNISH不从主动出-公式不适用
machine_terminal_v3,机械遗迹,终端·精英,MINION,0,0,4,0,3,0,4.55,6.55,0.45,正常,对账口径(生成器预算)
machine_commit,机械遗迹,提交,SPELL,0,0,0,0,3.5,1,4.55,3.05,0.45,正常,SPELL无身材-公式不适用
machine_module,机械遗迹,模块,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_module_v2,机械遗迹,模块·老兵,MINION,0,0,3,0,1,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
machine_trapdoor,机械遗迹,暗门,AMBUSH,0,0,0,0,0,1,4.55,3.05,-3.05,亏模,AMBUSH无身材-公式不适用
machine_commit_v2,机械遗迹,提交·老兵,SPELL,0,0,0,0,5,1,4.55,4.05,0.95,正常,SPELL无身材-公式不适用
machine_surge,机械遗迹,浪涌,PUNISH,1,0,0,0,0,1,4.96,3.46,-3.46,亏模,PUNISH不从主动出-公式不适用
machine_module_v3,机械遗迹,模块·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_commit_v3,机械遗迹,提交·精英,SPELL,0,0,0,0,9,1,4.55,5.05,3.95,超模,SPELL无身材-公式不适用
machine_node,机械遗迹,节点,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_node_v2,机械遗迹,节点·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_node_v3,机械遗迹,节点·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_push,机械遗迹,推送,SPELL,0,0,0,0,3,0,4.55,4.55,-1.55,亏模,SPELL无身材-公式不适用
machine_crawler,机械遗迹,爬行者,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_trapdoor_v2,机械遗迹,暗门·老兵,AMBUSH,0,0,0,0,0,1,4.55,4.05,-4.05,亏模,AMBUSH无身材-公式不适用
machine_push_v2,机械遗迹,推送·老兵,SPELL,0,0,0,0,4,0,4.55,5.55,-1.55,亏模,SPELL无身材-公式不适用
machine_crawler_v2,机械遗迹,爬行者·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_push_v3,机械遗迹,推送·精英,SPELL,0,0,0,0,5,0,4.55,6.55,-1.55,亏模,SPELL无身材-公式不适用
machine_crawler_v3,机械遗迹,爬行者·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_trapdoor_v3,机械遗迹,暗门·精英,AMBUSH,0,0,0,0,0,1,4.55,5.05,-5.05,亏模,AMBUSH无身材-公式不适用
machine_loader,机械遗迹,装载机,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_surge_v2,机械遗迹,浪涌·老兵,PUNISH,1,0,0,0,0,1,4.96,4.46,-4.46,亏模,PUNISH不从主动出-公式不适用
machine_loader_v2,机械遗迹,装载机·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_loader_v3,机械遗迹,装载机·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_compiler,机械遗迹,编译器,MINION,0,0,3,0,2,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
machine_compiler_v2,机械遗迹,编译器·老兵,MINION,0,0,5,0,1,0,4.55,5.55,0.45,正常,对账口径(生成器预算)
machine_compiler_v3,机械遗迹,编译器·精英,MINION,0,0,4,0,3,0,4.55,6.55,0.45,正常,对账口径(生成器预算)
machine_capacitor,机械遗迹,电容,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_capacitor_v2,机械遗迹,电容·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_capacitor_v3,机械遗迹,电容·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_surge_v3,机械遗迹,浪涌·精英,PUNISH,1,0,0,0,0,1,4.96,5.46,-5.46,亏模,PUNISH不从主动出-公式不适用
machine_relay,机械遗迹,中继,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_relay_v2,机械遗迹,中继·老兵,MINION,0,0,3,0,1,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
machine_relay_v3,机械遗迹,中继·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_server,机械遗迹,服务器,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_server_v2,机械遗迹,服务器·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_server_v3,机械遗迹,服务器·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_tank,机械遗迹,坦克,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_tank_v2,机械遗迹,坦克·老兵,MINION,0,0,3,0,1,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
machine_tank_v3,机械遗迹,坦克·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_walker,机械遗迹,步行者,MINION,0,0,4,0,1,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
machine_walker_v2,机械遗迹,步行者·老兵,MINION,0,0,3,0,3,0,4.55,5.55,0.45,正常,对账口径(生成器预算)
machine_walker_v3,机械遗迹,步行者·精英,MINION,0,0,4,0,3,0,4.55,6.55,0.45,正常,对账口径(生成器预算)
machine_spider,机械遗迹,蜘蛛机甲,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_spider_v2,机械遗迹,蜘蛛机甲·老兵,MINION,0,0,3,0,1,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
machine_spider_v3,机械遗迹,蜘蛛机甲·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_mech,机械遗迹,机甲,MINION,0,0,2,0,1,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
machine_mech_v2,机械遗迹,机甲·老兵,MINION,0,0,2,0,3,1,4.55,4.05,0.95,正常,对账口径(生成器预算)
machine_mech_v3,机械遗迹,机甲·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
machine_construct,机械遗迹,构造体,MINION,0,0,2,0,2,1,4.55,3.05,0.95,正常,对账口径(生成器预算)
machine_construct_v2,机械遗迹,构造体·老兵,MINION,0,0,3,0,1,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
machine_construct_v3,机械遗迹,构造体·精英,MINION,0,0,2,0,3,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
