asset_id,path,kind,alpha,portable,runtime_role,engine_specific,sha256
ARCHIVE_PANEL_9SLICE,assets/raster_1x/ui/archive_panel_9slice.png,raster-fallback,yes,yes,generic,no,d860dcc1727a0db2616f747882632a88de600f8b4c7c2d9dc32b81d445864412
ARCHIVE_TAB,assets/raster_1x/ui/archive_tab.png,raster-fallback,yes,yes,generic,no,c44c8978dac18a393eb0de337754a50b357ed42f52c3a4a59b12dc092d6d8b31
BATTLE_REPORT_FRAME,assets/raster_1x/ui/battle_report_frame.png,raster-fallback,yes,yes,generic,no,5d10e5b100877c226e04aa6d67bcb429b21d73b147fc1626665d96a9bbe25539
BUTTON_STAMP_9SLICE,assets/raster_1x/ui/button_stamp_9slice.png,raster-fallback,yes,yes,generic,no,542f876f96a011713c791d1c3f0a471b41e208812efc5f7bc2c5a3ecc734c464
CHAIN_TAB,assets/raster_1x/ui/chain_tab.png,raster-fallback,yes,yes,generic,no,f18f8f3b3bbf86f5516cb616dbec956cc439251ad6f65e3465a070c03eb3693a
CHANT_PROGRESS,assets/raster_1x/ui/chant_progress.png,raster-fallback,yes,yes,generic,no,17f8faa65815e6e2e64699f475b21e09c9ebdf5468dcaac573073384cba29200
COUNTERFILED,assets/raster_1x/ui/counterfiled.png,raster-fallback,yes,yes,generic,no,576060e8f3fec50dce5a4bd8cd880ee110792554bad491912d4e31e88d1bd541
DAMAGE_CUT,assets/raster_1x/ui/damage_cut.png,raster-fallback,yes,yes,generic,no,3ce07a88b1caddf8ec651e42e4ffd1c2c770bb81bfd4355771a6d3f2e05a9dfe
DECK_ADD_STAMP,assets/raster_1x/ui/deck_add_stamp.png,raster-fallback,yes,yes,generic,no,f105a53e679ad5fb7a7ad5036ef45c7f3a5a81838cb806d38d483a90bd15b936
DECK_REMOVE_STAMP,assets/raster_1x/ui/deck_remove_stamp.png,raster-fallback,yes,yes,generic,no,b1c5d8fad010f0fdb381db365eeabdb351d7882c6c5ed66a61e485b6ef103ece
DIVIDER_RULE,assets/raster_1x/ui/divider_rule.png,raster-fallback,yes,yes,generic,no,52a6be7f129dc909782474881a43c49c25fa3e12d0f61a3df3196a7c6d8ab51f
DROP_INVALID,assets/raster_1x/ui/drop_invalid.png,raster-fallback,yes,yes,generic,no,958051b5736d5777c318f0babb19e2b9be5e01a704c406fb1a20c310e58a5d48
DROP_VALID,assets/raster_1x/ui/drop_valid.png,raster-fallback,yes,yes,generic,no,6cadef960cdb0f76c4c020dab5439db093781a621f0502c9426422d5ee0994fd
FOCUS_RING,assets/raster_1x/ui/focus_ring.png,raster-fallback,yes,yes,generic,no,cf5c17df1910ab8077ad171c743ae11b6f010079f1d70dc389929d203e2ce19e
FOLDER_SLIDE,assets/raster_1x/ui/folder_slide.png,raster-fallback,yes,yes,generic,no,0c8152c36666f90eadfa1fc160c5fda473666ed9bf0427f16f4cb181e15c04fd
GUARD_BLOCKED,assets/raster_1x/ui/guard_blocked.png,raster-fallback,yes,yes,generic,no,223b97ee2e7fabadd67bbe733956264a5a0ba80a80dea0ca4975283867b71c60
HEAL_REPAIR,assets/raster_1x/ui/heal_repair.png,raster-fallback,yes,yes,generic,no,88d4076accc8aeabbff9737f31fb14eaa40e5be17231440e615d434788580d90
ILLEGAL,assets/raster_1x/ui/illegal.png,raster-fallback,yes,yes,generic,no,4a44b5cf30d36ec2dc2ce7edad32f23fddb864c7f76cf9fb612be3ecc640acb5
INDEX_SHIFT,assets/raster_1x/ui/index_shift.png,raster-fallback,yes,yes,generic,no,59708cd64a636534b63eb556867b0f87cb4be09d0261485493ad9548c597bea1
KING_SLAYER,assets/raster_1x/ui/king_slayer.png,raster-fallback,yes,yes,generic,no,6ba687d70bb4be17af79f52fbb27471a64045ec1d3aee62cd57a5c0fce828b28
LEGAL,assets/raster_1x/ui/legal.png,raster-fallback,yes,yes,generic,no,c860f717d6383374415d9e4de3904de31638c61ae1680dcb264524e4ea6728e5
LOCKED,assets/raster_1x/ui/locked.png,raster-fallback,yes,yes,generic,no,464215492f2d51113481821e81d6e0f9822aad58bfc8ecb5ed9d3cbd99045ca3
NORMAL,assets/raster_1x/ui/normal.png,raster-fallback,yes,yes,generic,no,8aa273a50a36d6648dabeba7567e5080439aaf7cf5ed76aef326414e77dcc4a5
PAPER_REGISTER,assets/raster_1x/ui/paper_register.png,raster-fallback,yes,yes,generic,no,fdb615e898bb6d994e357a67b3ae540834ddc954161a6a693b8acf7c7738e223
PHASE_STAMP_FRAME,assets/raster_1x/ui/phase_stamp_frame.png,raster-fallback,yes,yes,generic,no,ed46110c714b13ef417a09bcc582993acee57c26270779252856a52c3d56f9f0
REDACTION_WIPE,assets/raster_1x/ui/redaction_wipe.png,raster-fallback,yes,yes,generic,no,9ef3008d3bf9f195bc7bfe8ad0a013de6b8c86ae70d0569fa1d8e75ed4cd3181
RESOLVE_PIN,assets/raster_1x/ui/resolve_pin.png,raster-fallback,yes,yes,generic,no,2965271ba05782e08f0642b915b1cca22e41b4f17ef7bff724ef90d8eb9ed3f5
RESULT_FRAME,assets/raster_1x/ui/result_frame.png,raster-fallback,yes,yes,generic,no,5ae9e986a5ee64bf62cf4426dba98d5214136e1f3e63b56e6927348abef00621
ROYAL_CASTLE_MASTER,assets/raster_1x/ui/royal_castle_master.png,raster-fallback,no,yes,generic,no,fd7c6b4cab7c631ae8e6b10ef81a8f345d82b5d314872a4b46a3635a4c3301cd
SEAL_BREAK,assets/raster_1x/ui/seal_break.png,raster-fallback,yes,yes,generic,no,dde7cd3267d9b74f13c2d3038b8faf6da4bd7606aaf4dfd902e6dd3ce7c0b09e
SEAL_BROKEN,assets/raster_1x/ui/seal_broken.png,raster-fallback,yes,yes,generic,no,0e8b61375f0add716fd2db5c4d3d473edf0ea3a6849150c039f95101816e5e22
SEAL_CLOSED,assets/raster_1x/ui/seal_closed.png,raster-fallback,yes,yes,generic,no,ad2230b4473047ea03e9aa1b76411a6f6735d8379ed8429571a05bf1a6782645
SEALED_SLIP,assets/raster_1x/ui/sealed_slip.png,raster-fallback,yes,yes,generic,no,2ad39657f7f899e35468b02a7a551b4625e2ff4c5671da77d8cc6af0092b680c
SELECTION_BAR,assets/raster_1x/ui/selection_bar.png,raster-fallback,yes,yes,generic,no,5e5448a09bb9823bf58881782ae15f062bb28f8be0f70847cc288321915ff231
SHIELD_STAMP,assets/raster_1x/ui/shield_stamp.png,raster-fallback,yes,yes,generic,no,311fbbcdc8fc1749225a11f9ec72216310a28bfaf544eef2d27c72341b642918
SILENCE_REDACTION,assets/raster_1x/ui/silence_redaction.png,raster-fallback,yes,yes,generic,no,8557a544eee66ae0cf26bec80c7acaaca221e96bde89f582d56a8e9d95a604c3
TICKET,assets/raster_1x/ui/ticket.png,raster-fallback,yes,yes,generic,no,94a98c63dffa6423902d9a3e616f0eb9e96b4924b68515e3bdce9987f22fe0f0
TOOLTIP_9SLICE,assets/raster_1x/ui/tooltip_9slice.png,raster-fallback,yes,yes,generic,no,6232194308b1b74048a411dc3b5e411207fcfaf0890722091db2ff3a363db077
VALIDATION_MARK,assets/raster_1x/ui/validation_mark.png,raster-fallback,yes,yes,generic,no,aa5d9469c6024953da3aa404179e2e874b66161f1d30b172e13388ceac8da12a
VICTORY_COUNT,assets/raster_1x/ui/victory_count.png,raster-fallback,yes,yes,generic,no,08813ebf7b70d77b52b32e3a1ade53e509e663bb3099e515709fee8d902435a7
AMBUSH,assets/raster_2x/card/ambush.png,raster-fallback,yes,yes,generic,no,b8ab12793662e87202f3a8a0fae1074d2c1fef25834b75a4c0893b8fa9d8f79f
AMBUSH_VOID,assets/raster_2x/card/ambush_void.png,raster-fallback,yes,yes,generic,no,6e2052e3b1ce47244260dadb9e5b82e058f61fd2db55b601e2b990ddf47ed52d
CARD_BACK_MASTER,assets/raster_2x/card/card_back_master.png,raster-fallback,no,yes,generic,no,cac6ff2d45a4fc262dc4cf9bece252625c87ccd4d27db25d8a2516d42b102b2b
CARD_FRONT_MASTER,assets/raster_2x/card/card_front_master.png,raster-fallback,no,yes,generic,no,a103965db0d19b5ac908ce991dcccbc24cfbba9cf1eec7e611919297c4aac562
CARD_SLOT,assets/raster_2x/card/card_slot.png,raster-fallback,yes,yes,generic,no,8940de3812b5d104ab36c6d7ec15b9781fb1e8bbd11e318d59b9086c411746ba
DESTROYED,assets/raster_2x/card/destroyed.png,raster-fallback,yes,yes,generic,no,7338422ec70512998343247394f94a31ad2371be7cae9a73efb28b6da43cfc3c
DISABLED,assets/raster_2x/card/disabled.png,raster-fallback,yes,yes,generic,no,263b88922bdbe7f392e464d582579d6a9729baa9b8b1d1a535454544f4c7a43b
HOVER,assets/raster_2x/card/hover.png,raster-fallback,yes,yes,generic,no,9c99850b60d3da3fc7f9f624a0b5544277b50e826a9dc07cb431c0fda44c9d4d
LEADER,assets/raster_2x/card/leader.png,raster-fallback,yes,yes,generic,no,15ad62711cd872570ed5d766049fbacd3805690ba3f3f841a400ae96a317deaf
LEADER_MANIFEST,assets/raster_2x/card/leader_manifest.png,raster-fallback,yes,yes,generic,no,5dfaa7ed79a195724a5c3195111112903ce2e6068e2669784330115cb36afdde
PUNISHMENT,assets/raster_2x/card/punishment.png,raster-fallback,yes,yes,generic,no,8f8d1535fd826bbf5a47087894b34c4e66ff2770744f8147e77d09fc6f46fefa
PUNISHMENT_INTRUSION,assets/raster_2x/card/punishment_intrusion.png,raster-fallback,yes,yes,generic,no,a4b0c508eace906bcade6621667990377b7594a410f04815a90059aff0e60c3f
SELECTED,assets/raster_2x/card/selected.png,raster-fallback,yes,yes,generic,no,ec37d205c215298c25e08ce0bf127c2ba83cebbd87015d32dc166579595c1d7c
SILENCED,assets/raster_2x/card/silenced.png,raster-fallback,yes,yes,generic,no,bf715af5a5367f6895c76e93f3c45faaa2fc6bc99f78761b05dc1b338d63de32
SPELL,assets/raster_2x/card/spell.png,raster-fallback,yes,yes,generic,no,5e7a59a3cc19e877e5553c4dff748adfe321f1c6a73ad877285c334dce5a5590
SPELL_DIAGONAL,assets/raster_2x/card/spell_diagonal.png,raster-fallback,yes,yes,generic,no,4878e4b13632677f59bf593146936815d36a5f5e7c71e28e1b323bacebffbf2a
UNIT,assets/raster_2x/card/unit.png,raster-fallback,yes,yes,generic,no,85cff677712c04c956f2a830bee85ed0e5895196502ea1979edc9e425e161d65
UNIT_BREAKOUT,assets/raster_2x/card/unit_breakout.png,raster-fallback,yes,yes,generic,no,369bc9238b74c87aa2700f2ccf9b273c69194e055b8f3db49f383a6a891a7e7b
FLAME_SEAL,assets/raster_2x/core/flame_seal.png,raster-fallback,yes,yes,generic,no,2a483b38e3e10674404bf9972166431830179241090c4a28241eecbc5e85ee87
FLAME_WEDGE,assets/raster_2x/core/flame_wedge.png,raster-fallback,yes,yes,generic,no,08f34e5a4101cccd022e3bbb910261d508baa10ca6882ecb95405a0435472ff4
MACHINE_SEAL,assets/raster_2x/core/machine_seal.png,raster-fallback,yes,yes,generic,no,f6114ca151b13001c328f433c27eec62dd62921c1c0b3b18f987423f0a143884
MACHINE_WEDGE,assets/raster_2x/core/machine_wedge.png,raster-fallback,yes,yes,generic,no,7d3d53c93c4443227070c4add904d519b8c7cc0c92d9f68a2b484a55ca192c9f
MISREGISTRATION_GRID,assets/raster_2x/core/misregistration_grid.png,raster-fallback,yes,yes,generic,no,2e8cf3db4497bfe61c3242a5c441c23fa3c65d6671af225da29ab36813f26929
NEUTRAL_SEAL,assets/raster_2x/core/neutral_seal.png,raster-fallback,yes,yes,generic,no,23c9e5ea7fb62ada93a934e1a64deaa77608b535d4e5412e33e96364fa483c10
NEUTRAL_WEDGE,assets/raster_2x/core/neutral_wedge.png,raster-fallback,yes,yes,generic,no,0f657d716738a3164155edafeaf5228e6100f1ecc4842805485456dc9e7df79f
SEA_SEAL,assets/raster_2x/core/sea_seal.png,raster-fallback,yes,yes,generic,no,1c86e5bf6969cfec68517e2b706b3a5b19f72914bae64a1a9cfa1ae7c213899a
SEA_WEDGE,assets/raster_2x/core/sea_wedge.png,raster-fallback,yes,yes,generic,no,5450c7a77652d8f7c76fdbc0a99dc66ff95f5800568b0147e4e4a46c7aa4717e
WOOD_SEAL,assets/raster_2x/core/wood_seal.png,raster-fallback,yes,yes,generic,no,2c3b212e496815c73f6bb00022f96e5bf2943dc1650cbb4fe8ecb911b475f9d0
WOOD_WEDGE,assets/raster_2x/core/wood_wedge.png,raster-fallback,yes,yes,generic,no,1c3df869d2ced35d56e957b8b4e025f550c798b3af2140896a8cdc59f78c6bd5
AMBUSH_FOCUS,assets/raster_2x/icons/ambush_focus.png,raster-fallback,yes,yes,generic,no,abeb90970a44c8023905fbe41b8651b0b2fb5ba8ec4507457ac3489956a72eca
AMBUSH_LOCKDOWN,assets/raster_2x/icons/ambush_lockdown.png,raster-fallback,yes,yes,generic,no,8cad19c4ef3767556401400cc57179de98bf09cd1c1b42b94f21e980570b1c95
AMBUSH_NORMAL,assets/raster_2x/icons/ambush_normal.png,raster-fallback,yes,yes,generic,no,628c0c0905cfef32bb8449ff086ddd59d38830f97664442ad75e99a8076934a5
BACK,assets/raster_2x/icons/back.png,raster-fallback,yes,yes,generic,no,d996cf52cd2d99b3a20809ac3ba2d8e8a3e2882f03af1be22cc62e0bd305cc14
CANCEL,assets/raster_2x/icons/cancel.png,raster-fallback,yes,yes,generic,no,70b4e2efa67fe9c2190693e0b1be5b0437ce0bc5184ccdf8d6358d2e70fa5242
CASTLE,assets/raster_2x/icons/castle.png,raster-fallback,yes,yes,generic,no,3b4c56b578a4b38ad487e500db1f7e34c3ed315e2a457eb6bc7eca334046cadf
CHANT,assets/raster_2x/icons/chant.png,raster-fallback,yes,yes,generic,no,77707bf8a3915e74feb06ce30fcded6014cb7c1cd38c23a04f238e0ee8c43220
CONFIRM,assets/raster_2x/icons/confirm.png,raster-fallback,yes,yes,generic,no,f8c64826cf7c451b046cc79e917dc8a6c7ec66f2c052eb257da6fa0de2f26566
CYCLE,assets/raster_2x/icons/cycle.png,raster-fallback,yes,yes,generic,no,739e78d7798e02e65640c3e80adc30a45492ce9f4ba262d3bf8d6ff8dee445a5
DECK,assets/raster_2x/icons/deck.png,raster-fallback,yes,yes,generic,no,d6518a0a265811f033dccd8b25e3c092178b0b5ac25c5ee749413a8f549ebf40
DESTROY,assets/raster_2x/icons/destroy.png,raster-fallback,yes,yes,generic,no,e16ef0fc86529221c92d19128ea07d50e00eac9a6519012b49c9e377ba7366e2
DISCARD,assets/raster_2x/icons/discard.png,raster-fallback,yes,yes,generic,no,67d1bd2f6b60810caa11d418c5f94bb0b253fcc08fc3c09c3a2b76c9d3276cd4
DRAW,assets/raster_2x/icons/draw.png,raster-fallback,yes,yes,generic,no,2a9b0b3822de1d3044f45980551815cfd981fbaa3fd494c57c07077c577d7123
DURABILITY,assets/raster_2x/icons/durability.png,raster-fallback,yes,yes,generic,no,7b9eb9e660e2e6ead70ff4d92b4e5d6ea430315f9f692879a98471fcedf801ec
GUARD,assets/raster_2x/icons/guard.png,raster-fallback,yes,yes,generic,no,ce23bcc4a0867aecf75750821201eee1fbc165807c02a91e49a55b865d67fa75
HEAL,assets/raster_2x/icons/heal.png,raster-fallback,yes,yes,generic,no,b87b8a067ff8a4ec0ed1666b79cab3058b3e3595846cba99a783f6b733aa9ad5
INFO,assets/raster_2x/icons/info.png,raster-fallback,yes,yes,generic,no,1520fc31f890e27a5728893dba30319703180387f4676b01cb90e49ff4ce23b9
KING_SLAYER,assets/raster_2x/icons/king_slayer.png,raster-fallback,yes,yes,generic,no,9110ca036764350d9b56546e3abda498294bd7bf2b09cad73c11cfae458ab1bd
