path,width,height,has_transparent_pixels,fully_transparent,alpha_range
assets/raster_1x/icons/heal.png,100,100,yes,no,0-255
assets/raster_1x/icons/info.png,100,100,yes,no,0-255
assets/raster_1x/icons/king_slayer.png,100,100,yes,no,0-255
assets/raster_1x/icons/leader.png,100,100,yes,no,0-255
assets/raster_1x/icons/pause.png,100,100,yes,no,0-255
assets/raster_1x/icons/phase_action.png,100,100,yes,no,0-255
assets/raster_1x/icons/phase_ambush.png,100,100,yes,no,0-255
assets/raster_1x/icons/phase_discard.png,100,100,yes,no,0-255
assets/raster_1x/icons/phase_end.png,100,100,yes,no,0-255
assets/raster_1x/icons/phase_start.png,100,100,yes,no,0-255
assets/raster_1x/icons/play.png,100,100,yes,no,0-255
assets/raster_1x/icons/punish.png,100,100,yes,no,0-255
assets/raster_1x/icons/rematch.png,100,100,yes,no,0-255
assets/raster_1x/icons/rules.png,100,100,yes,no,0-255
assets/raster_1x/icons/rush.png,100,100,yes,no,0-255
assets/raster_1x/icons/settings.png,100,100,yes,no,0-255
assets/raster_1x/icons/silence.png,100,100,yes,no,0-255
assets/raster_1x/icons/taunt.png,100,100,yes,no,0-255
assets/raster_1x/icons/victory.png,100,100,yes,no,0-255
assets/raster_1x/icons/ward.png,100,100,yes,no,0-255
assets/raster_1x/ui/archive_panel_9slice.png,256,128,yes,no,0-255
assets/raster_1x/ui/archive_tab.png,200,60,yes,no,0-255
assets/raster_1x/ui/battle_report_frame.png,320,480,yes,no,0-255
assets/raster_1x/ui/button_stamp_9slice.png,192,64,yes,no,0-255
assets/raster_1x/ui/chain_tab.png,200,100,yes,no,0-255
assets/raster_1x/ui/chant_progress.png,320,280,yes,no,0-255
assets/raster_1x/ui/counterfiled.png,260,120,yes,no,0-255
assets/raster_1x/ui/damage_cut.png,320,280,yes,no,0-255
assets/raster_1x/ui/deck_add_stamp.png,96,96,yes,no,0-255
assets/raster_1x/ui/deck_remove_stamp.png,96,96,yes,no,0-255
assets/raster_1x/ui/divider_rule.png,256,16,yes,no,0-255
assets/raster_1x/ui/drop_invalid.png,128,128,yes,no,0-255
assets/raster_1x/ui/drop_valid.png,128,128,yes,no,0-255
assets/raster_1x/ui/focus_ring.png,128,128,yes,no,0-255
assets/raster_1x/ui/folder_slide.png,274,400,yes,no,0-255
assets/raster_1x/ui/guard_blocked.png,100,100,yes,no,0-255
assets/raster_1x/ui/heal_repair.png,320,280,yes,no,0-255
assets/raster_1x/ui/illegal.png,100,100,yes,no,0-255
assets/raster_1x/ui/index_shift.png,274,400,yes,no,0-255
assets/raster_1x/ui/king_slayer.png,100,100,yes,no,0-255
assets/raster_1x/ui/legal.png,100,100,yes,no,0-255
assets/raster_1x/ui/locked.png,100,100,yes,no,0-255
assets/raster_1x/ui/normal.png,100,100,yes,no,0-255
assets/raster_1x/ui/paper_register.png,274,400,yes,no,0-255
assets/raster_1x/ui/phase_stamp_frame.png,220,88,yes,no,0-255
assets/raster_1x/ui/redaction_wipe.png,274,400,yes,no,0-255
assets/raster_1x/ui/resolve_pin.png,100,100,yes,no,0-255
assets/raster_1x/ui/result_frame.png,512,320,yes,no,0-255
assets/raster_1x/ui/royal_castle_master.png,900,300,no,no,255-255
assets/raster_1x/ui/seal_break.png,274,400,yes,no,0-255
assets/raster_1x/ui/seal_broken.png,112,112,yes,no,0-255
assets/raster_1x/ui/seal_closed.png,112,112,yes,no,0-255
assets/raster_1x/ui/sealed_slip.png,200,100,yes,no,0-255
assets/raster_1x/ui/selection_bar.png,256,32,yes,no,0-255
assets/raster_1x/ui/shield_stamp.png,320,280,yes,no,0-204
assets/raster_1x/ui/silence_redaction.png,320,280,yes,no,0-255
assets/raster_1x/ui/ticket.png,200,100,yes,no,0-255
assets/raster_1x/ui/tooltip_9slice.png,256,128,yes,no,0-255
assets/raster_1x/ui/validation_mark.png,96,96,yes,no,0-255
assets/raster_1x/ui/victory_count.png,240,120,yes,no,0-255
